semester,institute_id,university_short,institute_name,university_course,nxtwave_tag,course_id,credits
Semester 3,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,AI For Finanace,AI for Finance,,
Semester 3,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Advanced Communication Skills,Advanced Communication Skills,,
Semester 3,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Back End Development,Back End Development,,
Semester 3,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Design and Analysis of Algorithms,Design and Analysis of Algorithms,,
Semester 3,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Logical Reasoning and Analytical Skills,Logical Reasoning and Analytical Skills,,
Semester 3,2f9f0fae-a892-4e68-846b-f86dd0802c72,Annamacharya,Annamacharya University,Probability and Statistics,Probability and Statistics,,
Semester 3,4497920d-7f75-4a6c-a913-c8c1c234d5d3,AURORA,Aurora University,English Language Proficiency B1,Communicative English Advanced,,
Semester 3,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,AI For Finance,AI for Finance,,
Semester 3,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,Advanced Communication Skills,Advanced Communication Skills,,
Semester 3,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,Back End Development,Back End Development,,
Semester 3,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,Design and Analysis of Algorithms,Design and Analysis of Algorithms,,
Semester 3,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,Logical Reasoning and Analytical Skills,Logical Reasoning and Analytical Skills,,
Semester 3,907f0db2-3263-4612-a98d-5ad7d10f04f8,CDU,Chaitanya Deemed-to-be University,Probability and Statistics,Probability and Statistics,,
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Quantitative Aptitude,Quantitative Aptitude,,
Semester 3,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,AI For Finanace,AI for Finance,,
Semester 3,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Advanced Communication Skills,Advanced Communication Skills,,
Semester 3,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Back End Development,Back End Development,,
Semester 3,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Design and Analysis of Algorithms,Design and Analysis of Algorithms,,
Semester 3,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Logical Reasoning and Analytical Skills,Logical Reasoning and Analytical Skills,,
Semester 3,e593b081-bebe-450a-b433-8f942ab87686,MRV,Malla Reddy Vishwavidyapeeth,Probability and Statistics,Probability and Statistics,,
Semester 1,54e79af8-33e6-4a04-a65f-21099c19fb69,NIAT Chevella,NIAT Chevella,DataBase Management System,Database Management Systems,,
Semester 3,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,AI For Finanace,AI for Finance,,
Semester 3,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Advanced Communication Skills,Advanced Communication Skills,,
Semester 3,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Back End Development,Back End Development,,
Semester 3,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Design and Analysis of Algorithms,Design and Analysis of Algorithms,,
Semester 3,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Logical Reasoning and Analytical Skills,Logical Reasoning and Analytical Skills,,
Semester 3,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Probability and Statistics,Probability and Statistics,,
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Mathematics 2,Mathematics for Computer Science,,
Semester 3,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,AI For Finanace,AI for Finance,,
Semester 3,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Advanced Communication Skills,Advanced Communication Skills,,
Semester 3,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Back End Development,Back End Development,,
Semester 3,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Design and Analysis of Algorithms,Design and Analysis of Algorithms,,
Semester 3,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Logical Reasoning and Analytical Skills,Logical Reasoning and Analytical Skills,,
Semester 3,8170360b-24f7-45b1-8f25-5733893ebdda,SGU,Sanjay Ghodawat University,Probability and Statistics,Probability and Statistics,,
Semester 2,1ec07200-92a5-4a11-a542-4eb95b951a04,Takshashila,Takshasila University,Web  Application Development -1,Web Application Development 1,,
